antibiotic_class,model_name,accuracy,precision,recall,f1_score,roc_auc,best_params
aminoglycoside,svm,0.6666666666666666,0.6666666666666666,1.0,0.8,0.6242603550295858,"{'model__C': 0.5, 'model__kernel': 'rbf'}"
aminoglycoside,random_forest,0.717948717948718,0.7777777777777778,0.8076923076923077,0.7924528301886793,0.695266272189349,"{'max_depth': 12, 'min_samples_split': 2, 'n_estimators': 150}"
aminoglycoside,knn,0.6923076923076923,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.6153846153846153,"{'model__n_neighbors': 7, 'model__weights': 'distance'}"
aminoglycoside,xgboost,0.6666666666666666,0.76,0.7307692307692307,0.7450980392156863,0.665680473372781,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 120}"
aminoglycoside,naive_bayes,0.6153846153846154,0.7619047619047619,0.6153846153846154,0.6808510638297872,0.6804733727810651,{'alpha': 0.5}
aminoglycoside,logistic_regression,0.5128205128205128,0.7058823529411765,0.46153846153846156,0.5581395348837209,0.6213017751479291,{'model__C': 2.0}
beta-lactam,xgboost,0.7111111111111111,0.6867469879518072,1.0,0.8142857142857143,0.6661350345560872,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 120}"
beta-lactam,random_forest,0.6444444444444445,0.6404494382022472,1.0,0.7808219178082192,0.6491228070175439,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 250}"
beta-lactam,svm,0.6333333333333333,0.6333333333333333,1.0,0.7755102040816326,0.6140350877192983,"{'model__C': 0.5, 'model__kernel': 'linear'}"
beta-lactam,naive_bayes,0.6555555555555556,0.6756756756756757,0.8771929824561403,0.7633587786259542,0.6289207868155237,{'alpha': 1.0}
beta-lactam,knn,0.5777777777777777,0.6266666666666667,0.8245614035087719,0.7121212121212122,0.5037214247740563,"{'model__n_neighbors': 7, 'model__weights': 'distance'}"
beta-lactam,logistic_regression,0.6222222222222222,0.7090909090909091,0.6842105263157895,0.6964285714285714,0.6012759170653907,{'model__C': 2.0}
fluoroquinolone,naive_bayes,0.6097560975609756,0.5454545454545454,0.6666666666666666,0.6,0.6231884057971014,{'alpha': 1.0}
fluoroquinolone,xgboost,0.5853658536585366,0.5238095238095238,0.6111111111111112,0.5641025641025641,0.5458937198067633,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}"
fluoroquinolone,svm,0.6097560975609756,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6280193236714975,"{'model__C': 1.0, 'model__kernel': 'linear'}"
fluoroquinolone,logistic_regression,0.5121951219512195,0.45454545454545453,0.5555555555555556,0.5,0.5772946859903382,{'model__C': 1.0}
fluoroquinolone,random_forest,0.5121951219512195,0.45,0.5,0.47368421052631576,0.6014492753623188,"{'max_depth': None, 'min_samples_split': 6, 'n_estimators': 250}"
fluoroquinolone,knn,0.4634146341463415,0.4,0.4444444444444444,0.42105263157894735,0.45169082125603865,"{'model__n_neighbors': 7, 'model__weights': 'uniform'}"
macrolide,svm,0.75,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.8317460317460318,"{'model__C': 1.0, 'model__kernel': 'linear'}"
macrolide,xgboost,0.6944444444444444,0.7777777777777778,0.6666666666666666,0.717948717948718,0.7365079365079366,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 120}"
macrolide,random_forest,0.6944444444444444,0.8125,0.6190476190476191,0.7027027027027027,0.7492063492063492,"{'max_depth': None, 'min_samples_split': 6, 'n_estimators': 250}"
macrolide,logistic_regression,0.6666666666666666,0.8,0.5714285714285714,0.6666666666666666,0.8126984126984127,{'model__C': 1.0}
macrolide,naive_bayes,0.6666666666666666,0.8,0.5714285714285714,0.6666666666666666,0.8285714285714285,{'alpha': 0.1}
macrolide,knn,0.4444444444444444,0.5384615384615384,0.3333333333333333,0.4117647058823529,0.44761904761904764,"{'model__n_neighbors': 3, 'model__weights': 'distance'}"
sulfonamide,svm,0.4838709677419355,0.4838709677419355,1.0,0.6521739130434783,0.3125,"{'model__C': 0.5, 'model__kernel': 'rbf'}"
sulfonamide,xgboost,0.7096774193548387,0.65,0.8666666666666667,0.7428571428571429,0.7958333333333334,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 120}"
sulfonamide,knn,0.6129032258064516,0.5652173913043478,0.8666666666666667,0.6842105263157895,0.6,"{'model__n_neighbors': 5, 'model__weights': 'uniform'}"
sulfonamide,random_forest,0.5483870967741935,0.52,0.8666666666666667,0.65,0.6687500000000001,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 150}"
sulfonamide,naive_bayes,0.6129032258064516,0.5714285714285714,0.8,0.6666666666666666,0.7,{'alpha': 1.0}
sulfonamide,logistic_regression,0.6451612903225806,0.625,0.6666666666666666,0.6451612903225806,0.7416666666666667,{'model__C': 2.0}
tetracycline,svm,0.6976744186046512,0.6976744186046512,1.0,0.821917808219178,0.7487179487179487,"{'model__C': 0.5, 'model__kernel': 'rbf'}"
tetracycline,knn,0.6046511627906976,0.696969696969697,0.7666666666666667,0.7301587301587301,0.5858974358974359,"{'model__n_neighbors': 5, 'model__weights': 'uniform'}"
tetracycline,xgboost,0.6511627906976745,0.7586206896551724,0.7333333333333333,0.7457627118644068,0.7692307692307693,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 120}"
tetracycline,random_forest,0.6511627906976745,0.7777777777777778,0.7,0.7368421052631579,0.7615384615384616,"{'max_depth': 12, 'min_samples_split': 6, 'n_estimators': 250}"
tetracycline,naive_bayes,0.6511627906976745,0.8260869565217391,0.6333333333333333,0.7169811320754716,0.7769230769230769,{'alpha': 0.1}
tetracycline,logistic_regression,0.6744186046511628,0.9,0.6,0.72,0.7820512820512819,{'model__C': 1.0}
